Season,Team,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def
2012,Indians,12978,-25,0,-1,2,0,-9,-31,8,-58,2357,1977,0.839,481,-11,-38.1,-4.3,0.2,-26.5,-3.5,-34.1,-4.9,-44.8
2018,Phillies,13011,-5,3,1,4,-8,-10,-99,-7,-118,1914,1537,0.803,543,-34,6.4,-7.1,2,-29.8,-10.7,-45.6,-8,-45.6
2006,Dodgers,13143,0,1,-4,-6,-5,-12,-6,,-33,2540,2080,0.819,344,,,-2.5,-3,-29.5,-4.9,-39.9,-5.7,-46.9
2011,Orioles,13020,1,8,5,1,2,19,-35,3,1,2365,1946,0.823,449,7,14.1,5.4,4.1,-66.8,-2.8,-60.1,-6.4,-47.5
2008,Dodgers,13026,0,-2,0,-8,-2,0,-3,,-12,2330,1922,0.825,444,,30.2,2.9,-2.6,-55.7,3.1,-52.4,-6.6,-48.6
2014,Rockies,12879,-16,-3,-3,0,-8,-5,22,1,-10,2383,1949,0.818,479,11,-14.2,-10.3,-1.6,-14.2,16.2,-9.9,-3.1,-48.9
2016,White Sox,13020,-11,-3,-2,0,17,4,-21,15,-2,2142,1726,0.806,542,-39,-21.3,14.7,0.6,-18.6,4.6,1.3,2.5,-49.3
2006,Pirates,12915,0,7,0,1,-7,-1,-50,,-36,2426,1945,0.802,312,,,-0.6,4,-65.5,8.4,-53.7,-6.8,-49.7
2018,Orioles,12879,-12,-1,2,-1,-2,-5,-68,6,-78,2063,1664,0.807,581,-28,-10,0.8,3,-52.1,-3.6,-51.9,-6.9,-49.9
2007,Devil Rays,12867,0,0,-3,1,12,-6,-89,,-82,2406,1905,0.792,334,,,8.7,-2.3,-49.4,-5.3,-48.2,-5.5,-50.2
2019,Pirates,12960,-8,-5,2,5,-3,1,-59,18,-46,1958,1538,0.785,540,,-7.1,-6.7,2.6,-33.5,-16.4,-54,-8.4,-51
2014,Indians,13215,2,-4,4,-5,4,8,-66,-5,-55,2211,1785,0.807,443,-27,4,1.7,-1.6,-52.2,-7.5,-59.6,-7.8,-52
2013,Astros,12960,-3,0,1,4,-6,4,-38,-11,-52,2279,1864,0.818,504,-8,-1.3,-11.7,4.6,-24.2,-17.4,-48.7,-7.8,-52.1
2006,Indians,12810,0,-5,-8,5,-6,6,-32,,-46,2565,2058,0.802,374,,,-1.8,0.8,-32.1,-6.2,-39.3,-5.3,-53.3
2010,Royals,12930,-5,-3,-1,-9,-10,-20,-52,-1,-96,2485,2023,0.814,392,-79,-11.7,-8.6,-9.1,-25.7,-12.1,-55.5,-8.9,-55.5
2008,Rangers,12978,0,5,-4,5,3,-9,-47,,-55,2485,2021,0.813,453,,-23.9,2.1,-1.6,-43.1,-3.6,-46.2,-5.7,-57.8
2008,Tigers,13005,0,6,2,2,-8,-11,-31,,-32,2399,1965,0.819,421,,-15.1,-8,-3.6,-42.4,-6.3,-60.3,-9.3,-57.9
2018,White Sox,12933,-18,0,-3,2,9,-5,-52,20,-61,1983,1576,0.795,675,-19,-15.8,1.1,3.9,-3.4,-20.3,-18.6,-2.3,-60.1
2009,Royals,12834,0,1,-6,-2,-4,-17,-75,,-104,2298,1861,0.81,423,-74,-3.4,3.7,-3.9,-39.1,-12.2,-51.5,-6.6,-64.3
2010,Pirates,12705,-3,2,-6,-2,5,-9,-62,-1,-81,2366,1855,0.784,449,-36,-17.3,1.7,-4.3,-47,-8.2,-57.7,-7.7,-64.9
2008,Diamondbacks,12912,0,0,-3,0,-11,-13,4,,-32,2239,1831,0.818,393,,6.3,-8,-1.8,-36.2,-10.5,-56.5,-9.3,-66
2013,Mariners,13185,-10,0,-2,-4,-15,-12,-51,-4,-99,2315,1895,0.819,470,-43,-15.2,-14.3,3.4,-20.9,0.6,-31.2,-5.6,-67
2007,Padres,13362,0,-1,-12,1,-5,0,33,,-3,2444,2032,0.831,376,,,-8.4,3.3,-44.1,8,-41.3,-6.7,-72.3
2011,Mets,13032,-6,-1,-7,-10,1,-15,-31,2,-60,2250,1870,0.831,462,-19,-15.2,-7.6,-6.9,-33.2,-14.2,-61.9,-9.8,-72.5
2006,Yankees,12993,0,-4,3,1,-8,3,-34,,-39,2485,2040,0.821,304,,,-6.5,-1.5,-62.6,-9.4,-80.1,-11.8,-75.1
2008,Rockies,13014,0,0,1,3,-12,-3,-17,,-21,2433,2040,0.838,364,,-17.7,-8.8,2.3,-56.3,3.4,-59.4,-8.7,-90.4
