TeamYear,Season,Team,W%,HR,BB%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,BIZ,Plays,RZR,HR/9,BABIP_y,GB%,HR/FB
2016_Giants,2016,Giants,0.5370370370370371,0.8024691358024691,0.091,0.14,0.299,0.258,0.329,0.398,0.315,12.845679012345679,10.679012345679013,0.831,0.97,0.287,0.45299999999999996,0.10800000000000001
2006_Phillies,2006,Phillies,0.5246913580246914,1.3333333333333333,0.096,0.18,0.302,0.267,0.34700000000000003,0.447,0.341,14.666666666666666,12.0,0.818,1.3,0.304,0.43700000000000006,0.13
2010_Giants,2010,Giants,0.5679012345679012,1.0,0.079,0.151,0.293,0.257,0.321,0.408,0.32,12.981481481481481,10.95679012345679,0.8440000000000001,0.83,0.282,0.42,0.08
2018_Cardinals,2018,Cardinals,0.5432098765432098,1.2654320987654322,0.085,0.16,0.294,0.249,0.321,0.409,0.316,12.62962962962963,10.24074074074074,0.8109999999999999,0.89,0.293,0.446,0.105
2013_Orioles,2013,Orioles,0.5246913580246914,1.308641975308642,0.068,0.171,0.28800000000000003,0.26,0.313,0.431,0.32299999999999995,13.197530864197532,11.154320987654321,0.845,1.25,0.29100000000000004,0.42200000000000004,0.129
2013_Braves,2013,Braves,0.5925925925925926,1.117283950617284,0.08800000000000001,0.153,0.3,0.249,0.321,0.402,0.318,13.530864197530864,11.376543209876543,0.841,0.79,0.28800000000000003,0.45799999999999996,0.094
2016_Dodgers,2016,Dodgers,0.5617283950617284,1.1666666666666667,0.085,0.16,0.294,0.249,0.319,0.409,0.314,11.58641975308642,9.438271604938272,0.815,1.02,0.28800000000000003,0.428,0.11699999999999999
2013_Dodgers,2013,Dodgers,0.5679012345679012,0.8518518518518519,0.077,0.133,0.308,0.264,0.326,0.396,0.317,12.716049382716049,10.746913580246913,0.845,0.79,0.29100000000000004,0.47100000000000003,0.099
2006_Blue Jays,2006,Blue Jays,0.5370370370370371,1.228395061728395,0.08199999999999999,0.179,0.306,0.284,0.348,0.463,0.349,14.537037037037036,12.012345679012345,0.826,1.17,0.292,0.46299999999999997,0.12300000000000001
2015_Cubs,2015,Cubs,0.5987654320987654,1.0555555555555556,0.091,0.154,0.305,0.244,0.321,0.398,0.313,12.641975308641975,10.401234567901234,0.823,0.83,0.287,0.466,0.107
